Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Michael Ansley,3,149,1026,621,67,51,24,0.513,,0.722,"Feb 8, 1967",Birmingham,Alabama
Keith Askins,9,486,1852,1428,375,278,170,0.401,0.355,0.717,"Dec 15, 1967",Athens,Alabama
Carl Bailey,1,1,2,0,0,0,0,1,,,"Apr 23, 1958",Birmingham,Alabama
Charles Barkley*,16,1073,23757,12546,4215,1648,888,0.541,0.266,0.735,"Feb 20, 1963",Leeds,Alabama
Eric Bledsoe,7,380,4650,1411,1654,535,184,0.447,0.33,0.786,"Dec 09, 1989",Birmingham,Alabama
Tom Boswell,6,366,2821,1709,591,142,111,0.533,0.545,0.724,"Oct 2, 1953",Montgomery,Alabama
David Bustion,1,47,158,101,21,,,0.436,,0.712,"Aug 30, 1949",Gadsden,Alabama
Jason Caffey,8,462,3368,2022,420,209,110,0.481,0,0.637,"Jun 12, 1973",Mobile,Alabama
DeMarre Carroll,8,364,2915,1370,418,368,88,0.451,0.368,0.719,"Jul 27, 1986",Birmingham,Alabama
Bobby Cattage,2,78,242,107,11,13,0,0.404,0.143,0.765,"Aug 17, 1958",Huntsville,Alabama
Derrick Coleman,15,781,12884,7232,1985,606,1051,0.447,0.295,0.769,"Jun 21, 1967",Mobile,Alabama
DeMarcus Cousins,7,441,9101,4751,1224,616,521,0.46,0.311,0.73,"Aug 13, 1990",Mobile,Alabama
Michael Curry,11,667,2986,1045,804,333,66,0.447,0.298,0.825,"Aug 22, 1968",Anniston,Alabama
Fennis Dembo,1,31,36,23,5,1,0,0.333,0,0.8,"Jan 24, 1966",Mobile,Alabama
John Douglas,2,67,452,91,147,48,9,0.461,0.311,0.663,"Jun 12, 1956",Town Creek,Alabama
Leon Douglas,7,456,3587,2954,479,210,325,0.495,0,0.601,"Aug 26, 1954",Leighton,Alabama
John Drew,11,739,15291,5088,1224,1004,193,0.47,0.175,0.748,"Sep 30, 1954",Vredenburgh,Alabama
T.R. Dunn,14,993,5033,4371,1631,1316,252,0.457,0.05,0.725,"Feb 1, 1955",Birmingham,Alabama
Jim Farmer,5,136,715,186,111,42,4,0.428,0.282,0.73,"Sep 23, 1964",Dothan,Alabama
Rod Foster,3,207,1562,258,479,137,10,0.44,0.298,0.768,"Oct 10, 1960",Birmingham,Alabama
Mickell Gladness,1,26,56,58,5,4,20,0.424,,0.5,"Jul 26, 1986",Birmingham,Alabama
Orlando Graham,1,7,8,11,0,0,0,0.3,,0.5,"May 5, 1965",Montgomery,Alabama
Travis Grant,4,201,2767,819,211,106,51,0.524,0.333,0.811,"Jan 1, 1950",Clayton,Alabama
JaMychal Green,3,131,900,649,107,74,57,0.466,0.291,0.769,"Jun 21, 1990",Montgomery,Alabama
Lamar Green,6,411,2133,2550,310,49,68,0.43,,0.66,"Mar 22, 1947",Birmingham,Alabama
Darrin Hancock,3,133,467,169,89,56,10,0.53,0.333,0.579,"Nov 03, 1971",Birmingham,Alabama
James Hardy,4,249,1410,1312,315,178,235,0.481,0.333,0.7,"Dec 1, 1956",Knoxville,Alabama
Johnny High,4,274,1396,617,525,325,86,0.435,0.105,0.619,"Apr 25, 1957",Birmingham,Alabama
Cedrick Hordges,2,145,1099,853,169,59,38,0.475,0.188,0.639,"Jan 8, 1957",Montgomery,Alabama
Robert Horry,16,1107,7715,5269,2343,1158,1035,0.425,0.341,0.726,"Aug 25, 1970",Andalusia,Alabama
Elvin Ivory,1,20,88,66,9,,,0.437,0.25,0.647,"Jul 2, 1948",Birmingham,Alabama
Stanley Jackson,1,17,38,27,16,5,0,0.515,0.2,1,"Oct 10, 1970",Tuskegee,Alabama
Henry James,7,212,1292,318,87,48,18,0.414,0.378,0.81,"Jul 29, 1965",Centreville,Alabama
Buck Johnson,7,505,4617,1760,856,404,252,0.488,0.113,0.738,"Jan 3, 1964",Birmingham,Alabama
Ken Johnson,1,64,263,243,19,13,22,0.528,,0.435,"Nov 7, 1962",Tuskegee,Alabama
Nate Johnston,1,21,46,23,1,3,8,0.375,0.25,0.692,"Dec 18, 1966",Birmingham,Alabama
Edgar Jones,6,363,3257,1745,331,220,455,0.506,0.262,0.71,"Jun 17, 1956",Fort Rucker,Alabama
Walter Jordan,1,30,68,42,11,11,5,0.387,,0.588,"Feb 19, 1956",Perry,Alabama
Larry Kenon,10,752,12954,6701,1672,952,247,0.487,0.143,0.784,"Dec 13, 1952",Birmingham,Alabama
Warren Kidd,1,68,247,233,19,19,23,0.592,,0.547,"Sep 09, 1970",Harpersville,Alabama
Stan Kimbrough,2,13,21,7,6,5,0,0.409,0.5,1,"Apr 24, 1966",Tuscaloosa,Alabama
Reggie King,6,438,3898,2707,691,365,147,0.514,0,0.699,"Feb 14, 1957",Birmingham,Alabama
Antonio Lang,6,143,329,210,50,55,46,0.455,0,0.719,"May 15, 1972",Mobile,Alabama
James Lang,1,11,11,11,2,0,3,0.444,,0.6,"Oct 17, 1983",Mobile,Alabama
Jeff Malone,13,905,17231,2364,2154,577,100,0.484,0.268,0.871,"Jun 28, 1961",Mobile,Alabama
Keith McCord,1,2,4,2,1,0,0,0.5,,,"Jun 22, 1957",Birmingham,Alabama
K.J. McDaniels,3,115,636,263,84,56,84,0.403,0.289,0.763,"Feb 09, 1993",Mobile,Alabama
Thales McReynolds,1,5,3,6,1,,,0.083,,0.5,"Jun 8, 1943",Birmingham,Alabama
Joe Meriweather,10,670,5439,3764,603,311,810,0.511,0.333,0.687,"Oct 26, 1953",Phenix City,Alabama
Larry Moffett,1,20,16,21,7,2,2,0.294,,0.6,"Nov 5, 1954",Mobile,Alabama
Jamario Moon,5,286,1807,1227,291,229,236,0.461,0.329,0.803,"Jun 13, 1980",Goodwater,Alabama
Allen Murphy,2,31,118,51,13,10,8,0.37,0,0.682,"Jul 15, 1952",Birmingham,Alabama
Pete Myers,9,377,1804,671,807,263,76,0.421,0.219,0.668,"Sep 15, 1963",Mobile,Alabama
Wiley Peck,1,52,180,183,33,17,23,0.432,0,0.618,"Sep 15, 1957",Montgomery,Alabama
Chuck Person,13,943,13858,4763,2645,683,197,0.458,0.362,0.723,"Jun 27, 1964",Brantley,Alabama
Wesley Person,11,733,8192,2402,1234,579,230,0.457,0.418,0.778,"Mar 28, 1971",Crenshaw,Alabama
Eddie Phillips,1,48,152,77,29,14,8,0.406,0,0.678,"Sep 29, 1961",Birmingham,Alabama
Stan Pietkiewicz,3,96,376,93,174,41,6,0.458,0.333,0.806,"Jul 14, 1956",Huntsville,Alabama
Chris Porter,1,51,440,189,61,45,6,0.389,0,0.667,"May 09, 1978",Abbeville,Alabama
Cal Ramsey,2,13,103,73,12,,,0.383,,0.568,"Jul 13, 1937",Selma,Alabama
Theo Ratliff,16,810,5809,4596,465,393,1968,0.496,0,0.71,"Apr 17, 1973",Demopolis,Alabama
Oliver Robinson,1,35,101,17,21,4,2,0.361,0.091,0.667,"Mar 13, 1960",Birmingham,Alabama
Roy Rogers,3,137,652,483,57,26,209,0.483,0.5,0.532,"Aug 19, 1973",Linden,Alabama
Curtis Rowe,8,590,6873,4264,932,199,193,0.482,,0.701,"Jul 2, 1949",Bessemer,Alabama
Willie Scott,1,8,13,4,2,,,0.4,,0.167,"May 22, 1947",Gadsden,Alabama
Walter Sharpe,1,8,8,3,0,0,2,0.364,0,0,"Jul 18, 1986",Huntsville,Alabama
Johnny Simmons,1,60,318,,29,,,0.28,,0.614,"Jul 7, 1924",Birmingham,Alabama
Doug Sims,1,4,4,4,0,,,0.4,,,"Jun 29, 1943",Elba,Alabama
Bud Stallworth,5,313,2403,861,213,129,51,0.414,,0.686,"Jan 18, 1950",Hartselle,Alabama
Erick Strickland,9,501,3780,1317,1203,422,41,0.392,0.351,0.826,"Nov 25, 1973",Opelika,Alabama
Andrew Toney,8,468,7458,1009,1965,369,105,0.5,0.342,0.797,"Nov 23, 1957",Birmingham,Alabama
Ben Wallace,16,1088,6254,10482,1437,1369,2137,0.474,0.137,0.414,"Sep 10, 1974",White Hall,Alabama
Gerald Wallace,14,832,9933,4838,1725,1200,681,0.469,0.312,0.709,"Jul 23, 1982",Sylacauga,Alabama
Marcus Webb,1,9,39,10,2,1,2,0.52,0,0.619,"May 09, 1970",Montgomery,Alabama
Mario West,4,162,154,142,51,45,8,0.448,0.2,0.563,"Jun 19, 1984",Huntsville,Alabama
Ennis Whatley,10,385,2150,679,1754,383,44,0.468,0.097,0.755,"Aug 11, 1962",Birmingham,Alabama
D.J. White,6,138,810,437,80,39,57,0.507,0.333,0.72,"Aug 31, 1986",Tuscaloosa,Alabama
Rory White,5,324,2387,749,232,187,52,0.506,0.077,0.681,"Aug 16, 1959",Tuskegee,Alabama
D.C. Wilcutt,2,59,128,,80,,,0.339,,0.733,"Mar 25, 1923",Patton,Alabama
Duck Williams,1,77,506,106,183,100,11,0.447,0,0.7,"Aug 2, 1956",Demopolis,Alabama
Mario Chalmers,8,580,5236,1428,2215,871,89,0.421,0.358,0.786,"May 19, 1986",Anchorage,Alaska
Mark Alarie,5,325,2432,1120,363,132,109,0.475,0.252,0.775,"Dec 11, 1963",Phoenix,Arizona
Jerryd Bayless,9,513,4393,1093,1501,329,65,0.414,0.366,0.825,"Aug 20, 1988",Phoenix,Arizona
Steve Colter,8,526,3319,1051,1482,463,76,0.448,0.289,0.778,"Jul 24, 1962",Phoenix,Arizona
Bryce Cotton,2,23,88,18,18,7,0,0.418,0.304,0.833,"Aug 11, 1992",Tucson,Arizona
Ron Davis,3,78,417,139,53,43,11,0.42,0.25,0.571,"May 1, 1954",Phoenix,Arizona
Sean Elliott,12,742,10544,3204,1897,576,284,0.465,0.375,0.799,"Feb 2, 1968",Tucson,Arizona
Carrick Felix,1,7,19,6,4,0,0,0.5,0.4,0.75,"Aug 17, 1990",Las Vegas,Arizona
Nick Johnson,1,28,74,39,11,7,3,0.347,0.238,0.68,"Dec 22, 1992",Tempe,Arizona
Perry Moss,2,136,536,210,198,98,18,0.415,0.174,0.722,"Nov 11, 1958",Tucson,Arizona
Larry Owens,2,19,53,28,12,9,6,0.442,0.444,0.538,"Jan 08, 1983",Mesa,Arizona
Wayne See,1,61,320,,143,,,0.373,,0.696,"Nov 3, 1923",Clemenceau,Arizona
Bernard Thompson,5,204,1078,352,266,127,27,0.439,0,0.789,"Aug 30, 1962",Phoenix,Arizona
Alan Williams,2,21,72,83,6,9,12,0.509,,0.533,"Jan 28, 1993",Phoenix,Arizona
James Anderson,5,247,1422,560,291,121,55,0.411,0.321,0.755,"Mar 25, 1989",El Dorado,Arkansas
Jim Barnes,7,454,3997,2939,377,,,0.429,,0.684,"Apr 13, 1941",Tuckerman,Arkansas
Ron Brewer,8,501,5971,971,920,480,249,0.459,0.248,0.824,"Sep 16, 1955",Fort Smith,Arkansas
Marcus Brown,2,27,92,22,23,8,2,0.381,0.333,0.714,"Apr 03, 1974",West Memphis,Arkansas
Bob Burrow,2,81,459,357,47,,,0.365,,0.578,"Jun 29, 1934",Malvern,Arkansas
Michael Cage,15,1140,8278,8646,1057,1050,725,0.515,0,0.664,"Jan 28, 1962",West Memphis,Arkansas
Cory Carr,1,42,171,49,66,21,7,0.329,0.167,0.75,"Dec 05, 1975",Fordyce,Arkansas
Joe Barry Carroll,10,705,12455,5404,1264,687,1121,0.474,0,0.747,"Jul 24, 1958",Pine Bluff,Arkansas
Archie Clark,10,725,11819,2427,3498,231,15,0.48,,0.769,"Jul 15, 1941",Conway,Arkansas
Nat Clifton*,8,544,5444,4469,1367,,,0.361,,0.633,"Oct 13, 1922",Little Rock,Arkansas
Mike Conley,10,656,8983,1883,3685,990,129,0.44,0.376,0.81,"Oct 11, 1987",Fayetteville,Arkansas
John Dickson,1,21,36,33,3,,,0.359,,0.615,"Nov 18, 1945",Searcy,Arkansas
Jeremy Evans,6,249,877,640,107,90,121,0.568,0.231,0.687,"Oct 24, 1987",Crossett,Arkansas
Derek Fisher,18,1287,10713,2658,3804,1352,98,0.399,0.374,0.817,"Aug 09, 1974",Little Rock,Arkansas
Archie Goodwin,4,153,945,303,183,65,34,0.419,0.23,0.698,"Aug 17, 1994",Little Rock,Arkansas
Myron Jackson,1,8,11,3,6,1,0,0.222,,0.875,"May 6, 1964",Hamburg,Arkansas
Joe Johnson,16,1171,19563,4738,4828,1030,239,0.442,0.372,0.801,"Jun 29, 1981",Little Rock,Arkansas
Lee Johnson,1,12,17,22,1,0,5,0.28,,0.6,"Jun 16, 1957",Plummerville,Arkansas
Caldwell Jones,17,1299,10241,10685,1800,685,2297,0.474,0.123,0.756,"Aug 4, 1950",McGehee,Arkansas
Charles Jones,15,726,1826,3253,623,442,1134,0.48,0,0.618,"Apr 3, 1957",McGehee,Arkansas
Fred Jones,7,430,3206,958,990,336,115,0.411,0.353,0.809,"Mar 11, 1979",Malvern,Arkansas
Major Jones,6,374,1643,1323,215,133,169,0.49,0.111,0.586,"Jul 9, 1953",McGhee,Arkansas
Wil Jones,9,725,8482,5560,1446,469,329,0.459,0.143,0.733,"Feb 27, 1947",McGehee,Arkansas
Andrew Lang,12,737,4431,3511,424,332,1099,0.47,0.25,0.744,"Jun 28, 1966",Pine Bluff,Arkansas
Keith Lee,3,182,1114,861,178,74,110,0.451,0.167,0.746,"Dec 28, 1962",West Memphis,Arkansas
Fat Lever,11,752,10433,4523,4696,1666,209,0.447,0.31,0.771,"Aug 18, 1960",Pine Bluff,Arkansas
Quincy Lewis,4,159,567,210,96,59,36,0.397,0.333,0.71,"Jun 26, 1977",Little Rock,Arkansas
Brian Martin,1,8,6,4,0,0,1,0.429,,0,"Aug 18, 1962",Fort Smith,Arkansas
Jeff Martin,2,143,956,290,109,78,47,0.417,0.282,0.694,"Jan 14, 1967",Cherry Valley,Arkansas
Jim McElroy,7,418,4120,820,1462,384,126,0.468,0.206,0.764,"Oct 4, 1953",Cotton Plant,Arkansas
Eddie Miles,9,605,8120,1860,1225,,,0.44,,0.747,"Jul 5, 1940",North Little Rock,Arkansas
Sidney Moncrief,11,767,11931,3575,2793,924,228,0.502,0.284,0.831,"Sep 21, 1957",Little Rock,Arkansas
Gaylon Nickerson,1,4,15,5,1,1,1,0.333,0,1,"Feb 5, 1969",Osecola,Arkansas
Dennis Nutt,1,25,57,8,16,7,0,0.4,0.294,0.909,"Mar 25, 1963",Little Rock,Arkansas
Jimmy Oliver,5,78,331,80,55,27,3,0.407,0.34,0.772,"Jul 12, 1969",Menifee,Arkansas
Scottie Pippen*,17,1178,18940,7494,6135,2307,947,0.473,0.326,0.704,"Sep 25, 1965",Hamburg,Arkansas
Bobby Portis,2,83,525,409,67,27,26,0.433,0.333,0.686,"Feb 10, 1995",Little Rock,Arkansas
Bryant Reeves,6,395,4945,2745,623,200,302,0.475,0.074,0.703,"Jun 08, 1973",Fort Smith,Arkansas
Glen Rice,15,1000,18336,4387,2097,958,265,0.456,0.4,0.846,"May 28, 1967",Jacksonville,Arkansas
Jackie Ridgle,1,32,57,15,7,,,0.432,,0.731,"Feb 13, 1948",Altheimer,Arkansas
Jerry Rook,1,28,85,31,10,,,0.451,0,0.846,"Oct 27, 1943",Jonesboro,Arkansas
Paul Silas,16,1254,11782,12357,2572,358,138,0.432,,0.673,"Jul 12, 1943",Prescott,Arkansas
Jeff Taylor,2,56,179,82,113,42,16,0.412,0,0.696,"Jan 1, 1960",Blytheville,Arkansas
Jeff Webster,1,11,18,7,3,4,0,0.348,0.333,,"Feb 19, 1971",Pine Bluff,Arkansas
Sonny Weems,4,183,1189,402,257,84,28,0.465,0.283,0.702,"Jul 08, 1986",West Memphis,Arkansas
Corliss Williamson,12,822,9147,3183,972,462,261,0.49,0.136,0.714,"Dec 04, 1973",Russellville,Arkansas
Jasper Wilson,2,70,366,187,45,,,0.378,0.429,0.652,"Jul 12, 1947",Camden,Arkansas
Alex Acker,2,30.0,81.0,29.0,16.0,6.0,4.0,0.37,0.32,0.5,"Jan 21, 1983",Compton,California
Mark Acres,6.0,375.0,1343.0,1525.0,180.0,137.0,104.0,0.506,0.538,0.665,"Nov 15, 1962",Inglewood,California
Hassan Adams,2.0,73.0,185.0,84.0,14.0,18.0,5.0,0.534,0.0,0.643,"Jun 20, 1984",Inglewood,California
Rick Adelman,7.0,462.0,3579.0,1129.0,1606.0,106.0,9.0,0.415,,0.713,"Jun 16, 1946",Lynwood,California
Arron Afflalo,10.0,671.0,7671.0,2036.0,1301.0,323.0,127.0,0.451,0.383,0.823,"Oct 15, 1985",Los Angeles,California
Josh Akognon,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.5,0.5,,"Feb 10, 1986",Greenbrae,California
Ray Allen,18.0,1300.0,24505.0,5272.0,4361.0,1451.0,244.0,0.452,0.4,0.894,"Jul 20, 1975",Merced,California
Darrell Allums,1.0,22.0,59.0,65.0,25.0,5.0,8.0,0.343,0.0,0.591,"Sep 12, 1958",Los Angeles,California
Lou Amundson,10.0,428.0,1564.0,1541.0,190.0,152.0,306.0,0.474,0.0,0.444,"Dec 07, 1982",Ventura,California
Chris Andersen,15.0,695.0,3755.0,3493.0,337.0,312.0,991.0,0.532,0.221,0.654,"Jul 07, 1978",Long Beach,California
Richard Anderson,6.0,407.0,2260.0,1418.0,611.0,225.0,94.0,0.412,0.333,0.762,"Nov 19, 1960",San Pedro,California
Ryan Anderson,9.0,512.0,6715.0,2846.0,465.0,285.0,185.0,0.422,0.378,0.861,"May 06, 1988",Sacramento,California
Gilbert Arenas,11.0,552.0,11402.0,2168.0,2909.0,884.0,134.0,0.421,0.351,0.803,"Jan 06, 1982",Los Angeles,California
Brandon Armstrong,3.0,108.0,239.0,63.0,24.0,22.0,4.0,0.352,0.333,0.6,"Jun 16, 1980",San Francisco,California
Stacey Augmon,15.0,1001.0,7990.0,3216.0,1561.0,974.0,317.0,0.469,0.152,0.728,"Aug 1, 1968",Pasadena,California
Isaac Austin,9.0,432.0,3285.0,2030.0,538.0,214.0,226.0,0.446,0.176,0.67,"Aug 18, 1969",Gridley,California
Ken Austin,1.0,7.0,12.0,3.0,1.0,1.0,1.0,0.462,,,"Jul 15, 1961",Los Angeles,California
Dennis Awtrey,12.0,733.0,3516.0,3342.0,1467.0,186.0,182.0,0.459,,0.652,"Feb 22, 1948",Hollywood,California
Jeff Ayres,6.0,237.0,690.0,632.0,99.0,37.0,66.0,0.553,0.4,0.776,"Apr 29, 1987",Ontario,California
Toby Bailey,2.0,73.0,241.0,126.0,43.0,22.0,6.0,0.407,0.2,0.692,"Nov 19, 1975",Los Angeles,California
Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,California
Greg Ballard,11.0,802.0,9953.0,4858.0,1733.0,877.0,256.0,0.472,0.338,0.787,"Jan 29, 1955",Los Angeles,California
Don Barksdale*,4.0,262.0,2895.0,2088.0,549.0,,,0.37,,0.66,"Mar 31, 1923",Oakland,California
Matt Barnes,14.0,880.0,7239.0,4016.0,1559.0,686.0,428.0,0.438,0.334,0.741,"Mar 09, 1980",Santa Clara,California
Drew Barry,3.0,60.0,134.0,67.0,111.0,19.0,2.0,0.417,0.381,0.774,"Feb 17, 1973",Oakland,California
Jon Barry,14.0,821.0,4715.0,1513.0,1784.0,722.0,111.0,0.434,0.392,0.848,"Jul 25, 1969",Oakland,California
Mike Batiste,1.0,75.0,481.0,257.0,52.0,42.0,16.0,0.422,0.222,0.784,"Nov 21, 1977",Long Beach,California
Jerome Beasley,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.333,,,"May 17, 1980",Compton,California
Bob Bedell,4.0,269.0,2257.0,1386.0,320.0,,,0.423,0.19,0.774,"Jun 26, 1944",Los Angeles,California
Corey Benjamin,4.0,153.0,835.0,259.0,143.0,71.0,48.0,0.39,0.289,0.652,"Feb 24, 1978",Compton,California
John Block,10.0,597.0,7106.0,3965.0,805.0,111.0,67.0,0.433,,0.778,"Apr 16, 1944",Los Angeles,California
Corie Blount,11.0,644.0,2287.0,2690.0,460.0,328.0,266.0,0.471,0.115,0.587,"Jan 4, 1969",Monrovia,California
Etdrick Bohannon,4.0,26.0,37.0,44.0,6.0,2.0,10.0,0.429,,0.679,"May 29, 1973",San Bernardino,California
Bruce Bowen,13.0,873.0,5290.0,2428.0,1089.0,712.0,336.0,0.409,0.393,0.575,"Jun 14, 1971",Merced,California
Freddie Boyd,6.0,327.0,2784.0,533.0,986.0,184.0,29.0,0.414,,0.667,"Jun 13, 1950",Bakersfield,California
Cedric Bozeman,1.0,23.0,26.0,23.0,9.0,5.0,2.0,0.282,0.154,0.333,"Mar 07, 1983",Los Angeles,California
Craig Brackins,2.0,17.0,30.0,19.0,9.0,1.0,1.0,0.265,0.214,0.5,"Oct 09, 1987",Los Angeles,California
Torraye Braggs,2.0,22.0,46.0,51.0,7.0,4.0,2.0,0.475,,0.667,"May 15, 1976",Fresno,California
Mike Bratz,9.0,586.0,4081.0,1030.0,1851.0,548.0,59.0,0.407,0.305,0.83,"Oct 17, 1955",Lompoc,California
Scott Brooks,10.0,680.0,3317.0,685.0,1608.0,480.0,30.0,0.45,0.372,0.849,"Jul 31, 1965",French Camp,California
Anthony Brown,2.0,38.0,149.0,96.0,25.0,19.0,6.0,0.317,0.277,0.85,"Oct 10, 1992",Bellflower,California
Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,California
Bobby Brown,3.0,119.0,578.0,92.0,205.0,36.0,4.0,0.378,0.306,0.81,"Sep 24, 1984",Los Angeles,California
Derrick Brown,3.0,171.0,895.0,413.0,119.0,89.0,32.0,0.515,0.317,0.637,"Sep 08, 1987",Oakland,California
Gerald Brown,1.0,33.0,80.0,22.0,31.0,5.0,1.0,0.371,0.3,0.786,"Jul 28, 1975",Los Angeles,California
Jabari Brown,1.0,19.0,227.0,36.0,40.0,12.0,2.0,0.412,0.371,0.753,"Dec 18, 1992",Oakland,California
Lewis Brown,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.4,"Feb 19, 1955",Los Angeles,California
Chase Budinger,7.0,407.0,3198.0,1240.0,473.0,213.0,65.0,0.43,0.352,0.797,"May 22, 1988",Encinitas,California
Jud Buechler,12.0,720.0,2385.0,1266.0,560.0,314.0,144.0,0.433,0.366,0.633,"Jun 19, 1968",San Diego,California
Greg Bunch,1.0,12.0,28.0,17.0,4.0,3.0,3.0,0.346,,0.833,"May 15, 1956",San Bernardino,California
Greg Butler,3.0,55.0,76.0,53.0,4.0,1.0,2.0,0.354,0.0,0.714,"Mar 11, 1966",Inglewood,California
Mitchell Butler,8.0,362.0,1868.0,717.0,342.0,214.0,53.0,0.438,0.304,0.623,"Dec 15, 1970",Los Angeles,California
Bill Calhoun,7.0,442.0,3440.0,1292.0,1036.0,,,0.341,,0.702,"Nov 4, 1927",San Francisco,California
Elden Campbell,15.0,1044.0,10805.0,6116.0,1199.0,702.0,1602.0,0.46,0.054,0.699,"Jul 23, 1968",Los Angeles,California
Al Carlson,1.0,28.0,72.0,73.0,13.0,7.0,11.0,0.342,,0.621,"Sep 17, 1951",Oceanside,California
Bill Cartwright,15.0,963.0,12713.0,6106.0,1390.0,460.0,668.0,0.525,0.0,0.771,"Jul 30, 1957",Lodi,California
Tyson Chandler,16.0,1006.0,8760.0,9373.0,851.0,570.0,1262.0,0.593,0.0,0.644,"Oct 02, 1982",Hanford,California
Phil Chenier,10.0,578.0,9931.0,2063.0,1742.0,682.0,238.0,0.444,0.4,0.806,"Oct 30, 1950",Berkeley,California
Will Cherry,1.0,8.0,15.0,5.0,8.0,6.0,1.0,0.263,0.222,0.5,"Feb 08, 1991",Oakland,California
Josh Childress,8.0,391.0,3548.0,1850.0,609.0,339.0,184.0,0.522,0.329,0.779,"Jun 20, 1983",Harbor City,California
Chris Childs,9.0,541.0,3710.0,1308.0,2633.0,490.0,54.0,0.403,0.344,0.816,"Nov 20, 1967",Bakersfield,California
Marquese Chriss,1.0,28.0,191.0,97.0,15.0,15.0,14.0,0.416,0.315,0.638,"Jul 02, 1997",Sacramento,California
Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,California
Patrick Christopher,1.0,4.0,6.0,6.0,0.0,1.0,0.0,0.25,0.0,,"Jun 03, 1988",Compton,California
Jarron Collins,10.0,542.0,2095.0,1579.0,419.0,138.0,98.0,0.455,0.0,0.699,"Dec 02, 1978",Northridge,California
Jason Collins,13.0,735.0,2621.0,2706.0,626.0,368.0,359.0,0.411,0.206,0.647,"Dec 02, 1978",Northridge,California
Darren Collison,8.0,514.0,6494.0,1362.0,2491.0,572.0,74.0,0.468,0.374,0.85,"Aug 23, 1987",Rancho Cucamonga,California
Anthony Cook,4.0,116.0,418.0,428.0,34.0,43.0,91.0,0.439,0.0,0.524,"Mar 19, 1967",Los Angeles,California
Darwin Cook,8.0,612.0,5820.0,1308.0,2248.0,1044.0,203.0,0.453,0.196,0.764,"Aug 6, 1958",Los Angeles,California
Jeff Cook,8.0,518.0,2734.0,2334.0,707.0,306.0,215.0,0.462,0.056,0.716,"Oct 21, 1956",West Covina,California
David Cooke,1.0,6.0,9.0,10.0,1.0,4.0,0.0,0.182,,0.5,"Sep 27, 1963",Sacramento,California
Michael Cooper,12.0,873.0,7729.0,2769.0,3666.0,1033.0,523.0,0.469,0.34,0.833,"Apr 15, 1956",Los Angeles,California
James Cotton,2.0,19.0,49.0,16.0,0.0,4.0,1.0,0.359,0.0,0.778,"Dec 14, 1975",Los Angeles,California
John Coughran,1.0,24.0,68.0,19.0,12.0,7.0,1.0,0.358,0.222,0.571,"Sep 12, 1951",Pittsburg,California
Allen Crabbe,4.0,176.0,1314.0,388.0,180.0,98.0,38.0,0.445,0.391,0.855,"Apr 09, 1992",Los Angeles,California
Hal Crisler,1.0,4.0,6.0,,0.0,,,0.333,,1.0,"Dec 31, 1923",Richmond,California
Russell Critchfield,1.0,47.0,161.0,29.0,54.0,,,0.361,0.0,0.655,"Jun 27, 1946",Salinas,California
Winston Crite,2.0,31.0,87.0,65.0,15.0,5.0,8.0,0.479,,0.76,"Jun 20, 1965",Bakersfield,California
Austin Croshere,12.0,659.0,4475.0,2649.0,627.0,245.0,216.0,0.407,0.34,0.861,"May 01, 1975",Los Angeles,California
Mark Crow,1.0,15.0,84.0,27.0,8.0,5.0,1.0,0.438,,0.7,"Oct 22, 1954",Edwards AFB,California
Jared Cunningham,4.0,84.0,197.0,56.0,39.0,21.0,2.0,0.347,0.306,0.674,"May 22, 1991",Oakland,California
Howie Dallmar,3.0,146.0,1408.0,,340.0,,,0.283,,0.698,"May 24, 1922",San Francisco,California
Antonio Davis,13.0,903.0,9041.0,6755.0,1017.0,430.0,889.0,0.448,0.087,0.727,"Oct 31, 1968",Oakland,California
Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,California
Baron Davis,13.0,835.0,13447.0,3183.0,6025.0,1530.0,360.0,0.409,0.32,0.711,"Apr 13, 1979",Los Angeles,California
Austin Daye,6.0,293.0,1522.0,764.0,212.0,116.0,117.0,0.402,0.351,0.778,"Jun 05, 1988",Irvine,California
Greg Deane,1.0,7.0,10.0,6.0,6.0,0.0,0.0,0.182,1.0,0.714,"Dec 6, 1957",Tulare,California
Dewayne Dedmon,4.0,169.0,669.0,769.0,34.0,55.0,142.0,0.545,0.0,0.651,"Aug 12, 1989",Lancaster,California
Bryce Dejean-Jones,1.0,14.0,79.0,48.0,15.0,10.0,2.0,0.406,0.375,0.524,"Aug 21, 1992",Los Angeles,California
Bison Dele,8.0,413.0,4536.0,2564.0,440.0,320.0,355.0,0.528,0.143,0.691,"Apr 6, 1969",Fresno,California
Dell Demps,3.0,20.0,59.0,9.0,9.0,6.0,1.0,0.5,0.333,0.762,"Feb 12, 1970",Long Beach,California
