Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Mac Otten,1,59,142,,36,,,0.329,,0.494,"Dec 16, 1925",Bellefontaine,Ohio
Chris Owens,1,1,4,1,0,0,0,0.667,,,"Mar 01, 1979",Akron,Ohio
Ruben Patterson,10,649,6953,2697,1150,751,249,0.517,0.179,0.641,"Jul 31, 1975",Cleveland,Ohio
Jim Paxson,11,784,11199,1593,2300,951,93,0.498,0.225,0.807,"Jul 9, 1957",Kettering,Ohio
John Paxson,11,772,5560,906,2758,517,44,0.499,0.355,0.804,"Sep 29, 1960",Dayton,Ohio
Adreian Payne,3,93,393,290,62,39,24,0.4,0.235,0.678,"Feb 19, 1991",Dayton,Ohio
Eric Piatkowski,14,789,5919,1716,778,404,115,0.434,0.399,0.839,"Sep 30, 1970",Steubenville,Ohio
Walter Piatkowski,3,157,1465,617,89,,,0.409,0.288,0.772,"Jun 11, 1945",Toledo,Ohio
James Posey,12,864,7419,4061,1413,917,298,0.41,0.349,0.82,"Jan 13, 1977",Cleveland,Ohio
Mike Pratt,2,143,806,383,286,,,0.427,0.373,0.799,"Aug 4, 1948",Dayton,Ohio
Kelvin Ransey,6,474,5380,901,2480,472,34,0.454,0.132,0.782,"May 3, 1958",Toledo,Ohio
Ed Ratleff,5,338,2813,1363,896,430,143,0.454,,0.803,"Mar 29, 1950",Bellefontaine,Ohio
Michael Redd,12,629,11972,2411,1338,579,66,0.447,0.38,0.838,"Aug 24, 1979",Columbus,Ohio
Eric Riley,5,186,574,479,60,54,132,0.456,0,0.704,"Jun 02, 1970",Cleveland,Ohio
Brian Roberts,5,280,1929,388,673,124,18,0.412,0.352,0.912,"Dec 03, 1985",Toledo,Ohio
Alvin Robertson,10,779,10882,4066,3929,2112,323,0.477,0.295,0.743,"Jul 22, 1962",Barberton,Ohio
Dave Robisch,13,930,10581,6173,1655,382,366,0.464,0,0.798,"Dec 22, 1949",Cincinnati,Ohio
Scott Roth,3,160,751,204,186,87,11,0.375,0.291,0.73,"Jun 3, 1963",Cleveland,Ohio
Terry Rozier,2,67,246,158,90,23,7,0.338,0.29,0.738,"Mar 17, 1994",Youngstown,Ohio
JaKarr Sampson,2,147,760,353,123,61,59,0.431,0.237,0.662,"Mar 20, 1993",Cleveland,Ohio
Frankie Sanders,2,69,352,131,69,37,7,0.43,,0.822,"Jan 23, 1957",Dayton,Ohio
Fred Saunders,4,210,1107,624,224,93,37,0.443,,0.682,"Jun 13, 1951",Columbus,Ohio
Fred Schaus,5,334,4070,1609,961,,,0.352,,0.823,"Jun 30, 1925",Newark,Ohio
Dick Schnittker,6,364,3030,1372,479,,,0.379,,0.825,"May 27, 1928",Kelleys Island,Ohio
Brad Sellers,6,398,2509,1064,435,137,246,0.452,0.2,0.793,"Dec 17, 1962",Warrensville Heights,Ohio
Paul Seymour,12,622,5836,1694,2341,,,0.35,,0.792,"Jan 30, 1928",Toledo,Ohio
Casey Shaw,1,9,2,3,0,0,0,0.125,,,"Jul 20, 1975",Lebanon,Ohio
Dick Shrider,1,4,1,,2,,,,,0.333,"Feb 7, 1923",Glass Rock,Ohio
Larry Siegfried,9,550,5960,1567,1950,,,0.409,,0.854,"May 22, 1939",Shelby,Ohio
Clinton Smith,2,46,134,60,49,14,1,0.43,0,0.714,"Jan 19, 1964",Cleveland,Ohio
Don Smith,1,54,283,30,47,20,3,0.408,,1,"Oct 10, 1951",Dayton,Ohio
Ed Smith,1,12,35,32,10,,,0.286,,0.538,"Jul 5, 1929",West Jefferson,Ohio
Jim Smith,2,76,219,187,46,22,51,0.514,,0.461,"Apr 12, 1958",Cleveland,Ohio
Eric Snow,13,846,5791,2141,4245,975,105,0.424,0.208,0.763,"Apr 24, 1973",Canton,Ohio
Dick Snyder,13,964,11755,2732,2767,300,157,0.488,,0.824,"Feb 1, 1944",North Canton,Ohio
Jared Sullinger,4,258,2856,1979,474,176,160,0.439,0.276,0.727,"Mar 04, 1992",Columbus,Ohio
Larry Sykes,1,1,0,2,0,0,0,,,,"Apr 11, 1973",Toledo,Ohio
Carl Thomas,3,63,181,60,28,24,8,0.398,0.315,0.643,"Oct 3, 1969",Dayton,Ohio
Charles Thomas,1,36,48,22,22,4,1,0.353,0.118,0.667,"Oct 3, 1969",Dayton,Ohio
LaSalle Thompson,15,985,7806,6689,1139,741,972,0.492,0.154,0.737,"Jun 23, 1961",Cincinnati,Ohio
Nate Thurmond*,14,964,14437,14464,2575,125,553,0.421,,0.667,"Jul 25, 1941",Akron,Ohio
Gary Trent,9,506,4366,2276,504,223,174,0.501,0.08,0.643,"Sep 22, 1974",Columbus,Ohio
Al Tucker,5,352,3541,1740,342,,,0.456,0.371,0.727,"Feb 24, 1943",Dayton,Ohio
Norm Van Lier,10,746,8770,3596,5217,767,71,0.414,,0.78,"Apr 1, 1947",East Liverpool,Ohio
Claude Virden,1,31,306,154,74,,,0.398,0,0.78,"Nov 25, 1947",Akron,Ohio
Granville Waiters,5,249,606,540,121,56,185,0.458,0,0.559,"Jan 8, 1961",Columbus,Ohio
Neal Walk,8,568,7157,4392,1214,140,105,0.459,,0.758,"Jul 29, 1948",Cleveland,Ohio
Samaki Walker,10,445,2376,2089,252,134,316,0.462,0.111,0.63,"Feb 25, 1976",Columbus,Ohio
Chuckie Williams,1,22,37,4,7,1,0,0.298,,0.75,"Dec 31, 1953",Columbus,Ohio
Herb Williams,18,1102,11944,6509,1856,605,1605,0.467,0.095,0.696,"Feb 16, 1958",Columbus,Ohio
Jawad Williams,3,90,340,133,56,22,8,0.369,0.313,0.719,"Feb 19, 1983",Cleveland,Ohio
Chris Wright,2,32,118,65,9,14,18,0.55,0,0.652,"Sep 30, 1988",Trotwood,Ohio
Rich Yonakor,1,10,33,27,3,1,2,0.538,,0.714,"Oct 3, 1958",Euclid,Ohio
Charles Beasley,4,281,2633,704,860,,,0.456,0.238,0.864,"Sep 23, 1945",Shawnee,Oklahoma
Ron Boone,13,1041,17437,4348,3842,823,123,0.461,0.304,0.837,"Sep 6, 1946",Oklahoma City,Oklahoma
Anthony Bowie,8,461,2945,1021,840,288,106,0.475,0.318,0.824,"Nov 9, 1963",Tulsa,Oklahoma
Joe Bradley,1,46,87,,36,,,0.269,,0.395,"Sep 24, 1928",Washington,Oklahoma
Antoine Carr,16,987,9176,3384,1086,361,925,0.503,0.13,0.78,"Jul 23, 1961",Oklahoma City,Oklahoma
Leroy Combs,1,48,218,56,38,23,18,0.497,0,0.615,"Jan 1, 1961",Oklahoma City,Oklahoma
Gene Conley,6,351,2069,2212,201,,,0.371,,0.657,"Nov 10, 1930",Muskogee,Oklahoma
Richard Dumas,3,102,1080,351,111,137,47,0.509,0.231,0.694,"May 19, 1969",Tulsa,Oklahoma
Mike Farmer,7,423,2816,1950,550,,,0.393,,0.814,"Sep 26, 1936",Oklahoma City,Oklahoma
J.R. Giddens,2,38,73,54,13,10,2,0.476,0,0.565,"Feb 13, 1985",Oklahoma City,Oklahoma
Blake Griffin,7,436,9352,4157,1777,424,259,0.519,0.266,0.666,"Mar 16, 1989",Oklahoma City,Oklahoma
Taylor Griffin,1,8,10,2,1,0,2,0.4,0,0.5,"Apr 18, 1986",Oklahoma City,Oklahoma
Carl Henry,1,28,78,19,4,5,0,0.463,0.4,0.706,"Aug 16, 1960",Hollis,Oklahoma
Ryan Humphrey,3,85,197,189,18,20,19,0.344,0,0.539,"Jul 24, 1979",Tulsa,Oklahoma
Darnell Jackson,3,138,308,203,26,24,11,0.449,0.235,0.644,"Nov 07, 1985",Oklahoma City,Oklahoma
Jim King,10,607,4377,1500,1412,,,0.418,,0.782,"Feb 7, 1941",Tulsa,Oklahoma
Stacey King,8,438,2819,1460,387,173,210,0.478,0.235,0.707,"Jan 29, 1967",Lawton,Oklahoma
Bud Koper,1,54,247,61,43,,,0.44,,0.833,"Aug 9, 1942",Rocky,Oklahoma
Lee Mayberry,7,496,2546,642,1767,352,43,0.415,0.377,0.659,"Jun 12, 1970",Tulsa,Oklahoma
Clint McDaniel,1,12,30,10,7,5,0,0.348,0.333,0.75,"Feb 26, 1972",Tulsa,Oklahoma
Tracy Moore,5,119,833,183,121,62,8,0.404,0.344,0.838,"Dec 28, 1965",Oklahoma City,Oklahoma
Willie Murrell,3,228,2988,1655,233,,,0.466,0.304,0.719,"Sep 13, 1941",Taft,Oklahoma
Daniel Orton,3,51,143,126,24,18,28,0.485,0,0.597,"Aug 06, 1990",Oklahoma City,Oklahoma
Brent Price,9,418,2481,684,1236,313,16,0.426,0.387,0.824,"Dec 9, 1968",Shawnee,Oklahoma
Mark Price,12,722,10989,1848,4863,860,76,0.472,0.402,0.904,"Feb 15, 1964",Bartlesville,Oklahoma
Hub Reed,7,479,2618,2449,367,,,0.436,,0.724,"Oct 4, 1936",Harrah,Oklahoma
Josh Richardson,2,71,538,167,114,50,33,0.422,0.393,0.682,"Sep 15, 1993",Edmond,Oklahoma
Ryan Robertson,1,1,5,0,0,0,0,0.333,0,1,"Oct 02, 1976",Lawton,Oklahoma
Shea Seals,1,4,4,4,0,1,0,0.125,0,0.5,"Aug 26, 1975",Tulsa,Oklahoma
John Starks,13,866,10829,2129,3085,951,106,0.412,0.34,0.769,"Aug 10, 1965",Tulsa,Oklahoma
Wayman Tisdale,12,840,12878,5117,1077,464,500,0.505,0,0.76,"Jun 9, 1964",Tulsa,Oklahoma
Ekpe Udoh,5,270,1072,860,179,124,324,0.429,0,0.72,"May 20, 1987",Edmond,Oklahoma
David Vaughn,4,118,341,361,36,31,48,0.423,0,0.638,"Mar 23, 1973",Tulsa,Oklahoma
Jake Voskuhl,9,450,1814,1539,237,148,166,0.487,0.333,0.714,"Nov 01, 1977",Tulsa,Oklahoma
Shelden Williams,6,361,1618,1562,163,179,164,0.462,0.222,0.74,"Oct 21, 1983",Oklahoma City,Oklahoma
Danny Ainge,14,1042,11964,2768,4199,1133,132,0.469,0.378,0.846,"Mar 17, 1959",Eugene,Oregon
Terrell Brandon,11,724,9994,2174,4407,1142,226,0.448,0.355,0.873,"May 20, 1970",Portland,Oregon
Ronnie Brewer,8,502,3940,1427,828,622,120,0.49,0.254,0.675,"Mar 20, 1985",Portland,Oregon
Will Conroy,3,16,7,11,16,0,0,0.136,0,0.125,"Dec 08, 1982",Portland,Oregon
